latitude_ocorrencia,longitude_ocorrencia
-228.649.973,-43.261.258
-2.292.707,-43.216.883
-229.302.767,-432.256.519
-229.433.449,-433.707.495
-229.481.688,-433.626.721
-229.293.261,-432.263.527
-228.269.208,-434.099.832
-22.947.996,-43.361.945
-228.745.565,-434.565.175
-228.627.778,-433.152.778
-228.487.251,-43.282.282
-229.062.445,-43.236.919
-228.732.458,-433.085.682
-228.622.187,-432.743.218
-229.012.593,-432.300.778
-228.627.778,-433.152.778
-229.260.954,-432.314.798
-228.759.836,-433.024.082
-228.045.692,-431.923.038
-228.604.006,-434.884.116
-228.752.928,-434.653.599
-228.662.669,-433.318.801
-228.593.331,-43.275.475.900.000.000
-228.648.423,-434.771.013
-228.662.669,-433.318.801
-228.648.423,-434.771.013
-229.174.205,-432.049.783
-22.919.538,-43.202.005
-228.596.732,-433.151.039
-229.259.539,-432.487.131
-229.385.731,-432.519.803
-228.878.394,-432.524.004
-22.905.076,-43.354.814
-22.801.551,-43.191.169
-228.627.778,-433.152.778
-22.951.838,-433.546
-228.797.229,-433.377.757
-228.624.406,-432.747.796
-228.469.239,-432.969.005
-22.960.656,-431.694.892
-228.429.787,-432.938.186
-228.429.787,-432.938.186
-229.142.752,-432.867.987
-229.010.027,-433.142.396
-228.654.866,-432.619.815
-228.225.117,-433.954.695
-22.831.743,-433.479.052
-229.663.052,-431.865.305
-228.658.549,-432.764.278
-229.249.912,-431.972.821
-228.612.593,-432.758.573
-228.830.377,-432.457.507
-228.469.239,-432.969.005
-229.347.222,-432.047.222
-228.667.128,-433.345.624
-229.428.769,-435.923.639
-228.436.111,-432.936.111
-228.932,-433.172.017
-229.234.424,-431.952.802
-228.742.263,-434.685.442
-228.654.866,-432.619.815
-228.722.222,-432.913.889
-228.458.942,-433.789.977
-22.879.074,-433.057.159
-22.876.715,-433.056.223
-228.716.509,-432.562.752
-229.818.862,-431.975.712
-229.441.667,-432.408.333
-229.481.688,-433.626.721
-228.428.941,-433.355.731
-228.874.746,-433.419.018
-228.861.231,-434.734.621
-228.401.095,-433.780.741
-228.595.673,-434.917.482
-228.923.796,-435.673.015
-228.620.054,-434.901.391
-228.604.259,-43.281.853
-228.624.406,-432.747.796
-228.604.259,-43.281.853
-229.247.536,-431.973.215
-228.614.507,-432.734.237
-228.599.462,-433.698.377
-229.200.243,-43.203.475
-228.613.254,-433.711.823
-229.481.688,-433.626.721
-229.939.022,-432.358.343
-228.428.941,-433.355.731
-228.456.842,-43.338.564
-228.668.265,-43.363.268
-228.494.608,-433.474.795
-228.521.912,-433.125.619
-230.307.952,-434.717.028
-229.174.766,-432.048.028
-229.783.333,-431.952.778
-229.632.188,-431.904.874
-228.676.223,-434.588.279
-229.086.155,-431.994.568
-22.838.514,-43.344.154
-228.906.281,-434.213.801
-229.033.322,-431.857.913
-228.658.549,-432.764.278
-22.930.819,-43.201.313.999.999.900
-228.187.998,-433.932.703
-22.903.701,-433.455.356
-22.871.458,-43.450.423
-229.054.238,-43.206.461
-229.133.505,-434.156.585
-229.965.886,-432.460.678
-228.255.312,-4.334.446
-229.151.643,-432.326.214
-228.654.866,-432.619.815
-228.820.321,-432.496.748
-229.245.374,-43.248.574
-22.980.727,-43.194.587
-229.048.084,-433.550.791
-22.882.476,-43.483.353
-228.646.137,-433.621.545
-22.991.796,-43.250.297
-228.255.312,-4.334.446
-228.593.331,-43.275.475.900.000.000
-229.148.773,-432.509.408
-228.265.322,-434.057.735
-229.879.841,-432.479.825
-22.863.617,-432.791.188
-229.174.766,-432.048.028
-228.654.866,-432.619.815
-22.863.617,-432.791.188
-228.603.985,-432.821.082
-228.504.233,-432.425.756
-22.822.018,-43.271.591
-228.356.214,-433.639.961
-229.533.252,-431.898.064
-228.654.866,-432.619.815
-229.939.022,-432.358.343
-229.481.688,-433.626.721
-22.993.011,-432.379.456
-229.957.534,-432.442.359
-22.914.105,-43.419.699
-229.110.577,-432.564.735
-229.110.577,-432.564.735
-229.110.577,-432.564.735
-229.174.766,-432.048.028
-22.834.038,-4.337.941
-228.355.741,-433.638.617
-228.649.973,-43.261.258
-229.449.815,-433.640.647
-229.020.429,-432.459.364
-228.654.866,-432.619.815
-22.844.261,-432.876.046
-228.487.441,-432.828.813
-228.487.441,-432.828.813
-228.604.006,-434.884.116
-228.522.579,-432.810.982
-22.846.822.799.999.900,-432.973.539
-22.847.331,-432.754
-22.847.331,-432.754
-229.107.698,-432.540.424
-228.581.095,-434.875.308
-229.136.108,-432.584.029
-22.946.674,-43.353.649
-22.902.384,-43.316.809
-2.294.955,-43.357.303
-229.462.857,-433.533.009
-228.960.142,-433.213.563
-22.913.048,-43.356.161
-22.902.384,-43.316.809
-229.871.601,-432.469.573
-228.759.836,-433.024.082
-228.965.033,-432.368.529
-228.923.484,-433.435.588
-228.969.521,-433.457.912
-22.867.234,-43.423.845
-228.954.241,-433.494.644
-22.852.592,-43.282.474
-228.536.463,-432.619.369
-22.889.874,-434.824.518
-22.850.648,-433.777.802
-229.631.913,-431.903.233
-229.893.864,-432.457.753
-22.858.407,-43.489.463
-229.135.675,-432.556.792
-228.820.321,-432.496.748
-229.385.622,-432.521.052
-228.969.198,-433.516.802
-228.952.631,-43.346.762
-22.902.384,-43.316.809
-228.709.633,-434.426.703
-229.053.129,-431.775.533
-229.038.741,-433.432.592
-22.816.863,-431.799.851
-22.896.785,-433.515.919
-228.456.304,-432.976.538
-229.128.631,-432.796.399
-22.903.701,-433.455.356
-228.477.095,-433.621.497
-22.826.185,-43.285.843
-228.588.459,-434.892.169
-229.939.022,-432.358.343
-228.830.377,-432.457.507
-228.830.377,-432.457.507
-22.821.358,-43.284.085
-228.612.667,-433.183.993
-228.600.128,-43.315.981
-229.046.971,-43.206.703
-228.341.614,-433.911.252
-228.797.553,-43.224.601
-229.159.796,-432.590.492
-229.607.032,-431.695.509
-228.797.606,-435.115.631
-22.903.701,-433.455.356
-22.848.071,-43.360.221
-228.900.672,-433.327.925
-22.903.701,-433.455.356
-228.415.136,-434.800.758
-22.903.701,-433.455.356
-229.168.747,-434.143.858
-228.576.167,-434.940.323
-228.399.934,-433.284.515
-228.386.111,-433.447.222
-22.895.536,-433.418.319
-22.881.645,-4.329.326
-228.604.006,-434.884.116
-229.395.041,-432.515.359
-22.821.182,-43.382.802
-228.645.551,-432.724.984
-229.039.308,-431.816.902
-22.820.324,-43.378.905
-229.395.041,-432.515.359
-229.939.022,-432.358.343
-228.865.213,-433.506.083
-22.907.542,-4.326.489
-228.720.232,-434.512.702
-22.892.587,-433.450.649
-229.101.394,-434.189.771
-228.462.932,-432.794.981
-22.895.536,-433.418.319
-228.954.545,-433.421.314
-22.926.831,-43.664.539
-228.624.532,-434.265.336
-229.196.001,-432.855.347
-229.441.667,-432.408.333
-229.441.667,-432.408.333
-228.669.629,-43.317.488
-228.675.722,-433.252.865
-228.608.162,-43.274.195
-228.760.677,-434.871.617
-229.441.667,-432.408.333
-22.993.011,-432.379.456
-229.107.698,-432.540.424
-228.131.401,-43.382.459
-228.863.238,-432.514.552
-228.163.486,-433.796.678
-22.939.393,-432.518.891
-228.472.161,-432.754.407
-228.622.012,-432.638.393
-229.293.261,-432.263.527
-228.504.633,-433.110.845
-228.693.411,-434.509.259
-228.601.955,-434.909.676
-228.880.184,-432.360.617
-228.603.985,-432.821.082
-229.002.778,-431.952.778
-229.046.925,-43.357.058
-229.151.971,-434.210.123
-228.621.273,-434.906.937
-228.613.778,-43.495.223
-229.939.022,-432.358.343
-229.044.214,-433.442.039
-228.968.333,-434.877.927
-229.209.831,-431.950.248
-22.903.701,-433.455.356
-228.945.764,-432.252.139
-228.620.054,-434.901.391
-229.607.135,-431.695.418
-22.903.701,-433.455.356
-229.264.256,-431.982.392
-228.604.006,-434.884.116
-228.860.986,-432.795.475
-22.903.701,-433.455.356
-22.903.701,-433.455.356
-229.641.669,-431.898.623
-228.604.006,-434.884.116
-229.149.256,-43.348.209
-229.769.008,-432.275.387
-229.078.627,-43.265.928.099.999.900
-228.820.321,-432.496.748
-229.196.001,-432.855.347
-229.313.564,-433.621.042
-229.048.084,-433.550.791
-229.151.971,-434.210.123
-229.098.074,-432.913.064
-228.436.111,-432.936.111
-229.196.001,-432.855.347
-229.174.766,-432.048.028
-228.753.065,-433.501.312
-228.830.377,-432.457.507
-229.048.084,-433.550.791
-229.048.084,-433.550.791
-229.781.136,-43.679.049
-228.923.796,-435.673.015
